United States,901391
Brazil,631265
India,501114
Russia,327310
Mexico,308829
Peru,206646
United Kingdom,158119
Italy,148167
Indonesia,144453
Colombia,135282
Iran,132681
France,132274
Argentina,122439
Germany,118681
Ukraine,107712
Poland,106306
South Africa,95545
Spain,94235
Turkey,88312
Romania,60450
Philippines,54214
Hungary,41741
Chile,39867
Vietnam,38147
Czechia,37363
Canada,34536
Ecuador,34533
Bulgaria,33688
Malaysia,32011
Pakistan,29448
Belgium,29227
Bangladesh,28524
Tunisia,26548
Iraq,24476
Greece,23927
Egypt,22819
Thailand,22271
Netherlands,21393
Bolivia,21073
Portugal,20127
Myanmar,19310
Japan,19157
Kazakhstan,18600
Slovakia,17921
Paraguay,17476
Guatemala,16470
Sweden,16180
Sri Lanka,15544
Morocco,15540
Georgia,15141
Bosnia and Herzegovina,14672
Austria,14192
Croatia,14035
Serbia,13868
Jordan,13288
Switzerland,12779
Nepal,11794
Moldova,10734
Honduras,10512
Lebanon,9675
Israel,9111
Saudi Arabia,8950
Azerbaijan,8823
North Macedonia,8533
Cuba,8427
Armenia,8075
Lithuania,7952
Panama,7813
Costa Rica,7641
Afghanistan,7420
Ethiopia,7355
South Korea,6858
Algeria,6631
Uruguay,6606
Ireland,6228
Belarus,6116
Libya,6052
Slovenia,5933
Kenya,5604
Venezuela,5474
Zimbabwe,5357
Palestine,5128
Latvia,4934
China,4639
Dominican Republic,4319
Oman,4158
Australia,4154
Namibia,3974
Zambia,3928
El Salvador,3927
Denmark,3828
Sudan,3588
Uganda,3549
Trinidad and Tobago,3448
Albania,3371
Nigeria,3136
Kosovo,3033
Cambodia,3015
Syria,3001
Kyrgyzstan,2896
Jamaica,2687
Montenegro,2596
Botswana,2585
Malawi,2567
Kuwait,2505
United Arab Emirates,2258
Mozambique,2183
Mongolia,2121
Finland,2058
Estonia,2053
Yemen,2022
Senegal,1953
Angola,1896
Cameroon,1880
Uzbekistan,1579
Norway,1467
Rwanda,1445
Bahrain,1410
Ghana,1404
Eswatini,1377
Somalia,1335
Democratic Republic of Congo,1278
Madagascar,1274
Suriname,1274
Guyana,1179
Mauritania,962
Luxembourg,958
Haiti,876
Singapore,866
Taiwan,851
Fiji,811
Tanzania,789
Mauritius,786
Cote d'Ivoire,786
Bahamas,748
Cyprus,740
Mali,715
Lesotho,694
Qatar,652
French Polynesia,636
Belize,629
Papua New Guinea,597
Laos,562
Malta,560
Guinea,426
Cape Verde,396
Burkina Faso,372
Congo,371
Gambia,364
Saint Lucia,333
Gabon,302
Niger,301
Liberia,290
Barbados,286
New Caledonia,284
Maldives,280
Togo,268
Curacao,246
Nicaragua,221
Hong Kong,213
Grenada,211
Aruba,194
Chad,190
Djibouti,189
Equatorial Guinea,182
Benin,163
Comoros,160
Guinea-Bissau,158
Seychelles,154
Andorra,147
South Sudan,137
Antigua and Barbuda,127
Sierra Leone,125
Tajikistan,125
Timor,122
Bermuda,118
Central African Republic,110
San Marino,109
Gibraltar,101
Eritrea,100
Brunei,98
Saint Vincent and the Grenadines,95
Liechtenstein,74
Isle of Man,73
Sao Tome and Principe,70
New Zealand,53
Dominica,51
British Virgin Islands,51
Iceland,49
Monaco,48
Burundi,38
Saint Kitts and Nevis,37
Turks and Caicos Islands,34
Bonaire Sint Eustatius and Saba,29
Solomon Islands,21
Faeroe Islands,20
Cayman Islands,16
Anguilla,8
Wallis and Futuna,7
Greenland,6
Bhutan,4
Montserrat,1
Saint Pierre and Miquelon,1
Vanuatu,1
Sint Maarten (Dutch part),NULL
Niue,NULL
Northern Cyprus,NULL
Turkmenistan,NULL
Cook Islands,NULL
Micronesia (country),NULL
Palau,NULL
Marshall Islands,NULL
Falkland Islands,NULL
Nauru,NULL
Guernsey,NULL
Samoa,NULL
Tokelau,NULL
Tonga,NULL
Pitcairn,NULL
Kiribati,NULL
Saint Helena,NULL
Vatican,NULL
Jersey,NULL
Tuvalu,NULL
Macao,NULL
